,Condition,Drugs
106,BMI >30 kg/m2,"[Bupropion, Liraglutide, Fluoxetine, Amphetamine, Pipradrol, Naltrexone, Lorcaserin, Orlistat, Phentermine]"
107,Acute Agitation,"[Droperidol, Olanzapine, Lorazepam, Aripiprazole, Trifluoperazine, Ziprasidone, Prazosin, Risperidone, Loxapine]"
108,Chronic hepatitis C genotype 4,"[Ledipasvir, Sofosbuvir, Asunaprevir, Glecaprevir, Pibrentasvir, Simeprevir, Grazoprevir, Elbasvir, Velpatasvir]"
109,Soft Tissue Sarcoma (STS),"[Docetaxel, Ifosfamide, Doxorubicin, Olaratumab, Temozolomide, Sunitinib, Tasonermin, Vinorelbine, Methotrexate]"
110,"Lymphoma, Hodgkins","[Vincristine, Ifosfamide, Cyclophosphamide, Dacarbazine, Cytarabine, Doxorubicin, Vinblastine, Mitoxantrone, Bleomycin]"
111,Cancer of the Ovary,"[Etoposide, Ifosfamide, Altretamine, Dactinomycin, Pemetrexed, Paclitaxel, Tamoxifen, Irinotecan, Bleomycin]"
112,Exfoliative erythroderma,"[Tetracosactide, Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone]"
113,"Infections, Fungal","[Amphotericin B, Caspofungin, Posaconazole, Voriconazole, Micafungin, Flucytosine, Itraconazole, Gentian violet cationCommonly known or available as Gentian Violet, Fluconazole]"
114,Heterozygous Familial Hypercholesterolemia,"[Colesevelam, Rosuvastatin, Alirocumab, Fluvastatin, Atorvastatin, Pravastatin, Evolocumab, Simvastatin, Lovastatin]"
115,Acute Manic episode,"[Olanzapine, Aripiprazole, Ziprasidone, Verapamil, Valproic Acid, Cariprazine, Quetiapine, Clonazepam, Asenapine]"
116,Psychosis,"[Olanzapine, Aripiprazole, Trifluoperazine, Ziprasidone, Haloperidol, Quetiapine, Thioridazine, Risperidone, Periciazine]"
117,Gilles de la Tourette's Syndrome,"[Olanzapine, Clonidine, Tetrabenazine, Haloperidol, Fluphenazine, Clonazepam, Risperidone, Guanfacine]"
118,Plasmodium Infections,"[Chloroquine, Clindamycin, Primaquine, Sulfadiazine, Acetyl sulfisoxazole, Doxycycline, Mefloquine, Pyrimethamine]"
119,Angina Pectoris,"[Propranolol, Metoprolol, Pindolol, Isosorbide Mononitrate, Isosorbide dinitrate, Nitroglycerin, Nadolol, Atenolol]"
120,"Urinary Bladder, Overactive","[Oxybutynin, Fesoterodine, Darifenacin, Mirabegron, Tolterodine, Botulinum toxin type A, Trospium, Solifenacin]"
121,Lung Cancer Small Cell Lung Cancer (SCLC),"[Etoposide, Atezolizumab, Vincristine, Docetaxel, Cisplatin, Ifosfamide, Irinotecan, Methotrexate]"
122,Refractory seizure disorders,"[Felbamate, Lorazepam, Diazepam, Fosphenytoin, Valproic Acid, Lacosamide, Levetiracetam, Midazolam]"
123,Anthrax,"[Clindamycin, Procaine benzylpenicillin, Phenoxymethylpenicillin, Minocycline, Levofloxacin, Tetracycline, Benzylpenicillin, Demeclocycline]"
124,Esophageal Cancers,"[Docetaxel, Cisplatin, Capecitabine, Oxaliplatin, Porfimer sodium, Paclitaxel, Vinorelbine, Irinotecan]"
125,Corneal Inflammation,"[Tetracosactide, Dexamethasone, Methylprednisolone, Prednisolone, Prednisone, Neomycin, Hydrocortisone, Corticotropin]"
126,Respiratory Tract Infections (RTI),"[Clindamycin, Cephalexin, Procaine benzylpenicillin, Ampicillin, Doxycycline, Minocycline, Erythromycin, Demeclocycline]"
127,"Dermatitis, Contact","[Dexamethasone, Clioquinol, Methylprednisolone, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone, Bendazac]"
128,Non-suppurative Thyroiditis,"[Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone]"
129,Severe Psoriasis,"[Dexamethasone, Acitretin, Methylprednisolone, Prednisolone, Methoxsalen, Prednisone, Hydrocortisone, Methotrexate]"
130,Pemphigus,"[Tetracosactide, Dexamethasone, Methylprednisolone, Betamethasone, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone]"
131,Uncomplicated skin and subcutaneous tissue bacterial infections,"[Cefprozil, Tazobactam, Clarithromycin, Piperacillin, Cefditoren, Cefepime, Levofloxacin, Cefpodoxime]"
132,Plague,"[Moxifloxacin, Sulfadiazine, Streptomycin, Doxycycline, Minocycline, Levofloxacin, Tetracycline, Demeclocycline]"
133,Complicated Urinary Tract Infections,"[Ciprofloxacin, Ofloxacin, Imipenem, Cefepime, Levofloxacin, Doripenem, Cilastatin, Fosfomycin]"
134,Postoperative Infections,"[Ceftriaxone, Cefazolin, Cefotaxime, Amikacin, Cefotetan, Metronidazole, Erythromycin, Sulbactam]"
135,Dermatomyositis,"[Tetracosactide, Betamethasone, Bupivacaine, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone, Methotrexate]"
136,Ewing's Sarcoma (ES),"[Etoposide, Vincristine, Docetaxel, Ifosfamide, Topotecan, Cyclophosphamide, Dactinomycin, Irinotecan]"
137,Chancroid,"[Ceftriaxone, Sulfadiazine, Streptomycin, Acetyl sulfisoxazole, Doxycycline, Tetracycline, Erythromycin, Azithromycin]"
138,Generalized Anxiety Disorder (GAD),"[Sertraline, Duloxetine, Paroxetine, Alprazolam, Quetiapine, Mirtazapine, Venlafaxine, Escitalopram]"
139,"Meningitis, Bacterial","[Polymyxin B, Ceftriaxone, Amikacin, Gentamicin, Cefepime, Ampicillin, Meropenem, Tobramycin]"
140,Infection NOS,"[Isopropyl alcohol, Dequalinium, Framycetin, Acetic acid, Bacitracin, Gentian violet cationCommonly known or available as Gentian Violet, Ampicillin, Probenecid]"
141,Mild Pain NOS,"[Codeine, Pentazocine, Mefenamic acid, Diflunisal, Fenoprofen, Meclofenamic acid, Acetaminophen, Ibuprofen]"
142,Epicondylitis,"[Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone]"
143,Benign Prostatic Hyperplasia (BPH),"[Tadalafil, Finasteride, Prazosin, Terazosin, Tamsulosin, Alfuzosin, Silodosin, Dutasteride]"
144,Severe Rheumatoid arthritis,"[Penicillamine, Abatacept, Anakinra, Rituximab, Tacrolimus, Tofacitinib, Certolizumab pegol, Adalimumab]"
145,Congenital Adrenal Hyperplasia (CAH),"[Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone]"
146,Bullous dermatitis herpetiformis,"[Dexamethasone, Methylprednisolone, Betamethasone, Prednisolone, Dapsone, Triamcinolone, Prednisone, Hydrocortisone]"
147,Uncomplicated Urinary Tract Infections,"[Ciprofloxacin, Cefixime, Trimethoprim, Imipenem, Cefepime, Levofloxacin, Cilastatin, Cefpodoxime]"
148,Congenital Hypoplastic Anemia,"[Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine, Prednisolone, Triamcinolone, Prednisone, Oxymetholone]"
149,Iritis,"[Tetracosactide, Dexamethasone, Loteprednol, Methylprednisolone, Prednisolone, Prednisone, Hydrocortisone, Corticotropin]"
150,Berylliosis,"[Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone]"
151,Malignant Lymphomas,"[Dexamethasone, Methylprednisolone, Betamethasone, Doxorubicin, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone]"
152,Secondary thrombocytopenia,"[Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone]"
153,Stevens Johnson Syndrome,"[Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine, Prednisolone, Prednisone, Hydrocortisone, Corticotropin]"
154,Pulmonary Embolism (PE),"[Nadroparin, Dabigatran etexilate, Apixaban, Heparin, Acenocoumarol, Rivaroxaban, Edoxaban, Dihydroergotamine]"
155,"Pain, Neuropathic","[Imipramine, Conjugated estrogens, Pregabalin, Amitriptyline, Venlafaxine, Desipramine, Hydromorphone]"
156,Otitis media bacterial,"[Cefuroxime, Ceftriaxone, Cefprozil, Amoxicillin, Cefixime, Ceftibuten, Cefaclor]"
157,Primary Dysmenorrhoea,"[Celecoxib, Naproxen, Ketoprofen, Mefenamic acid, Meclofenamic acid, Diclofenac, Ibuprofen]"
158,Surgical Site Infections,"[Oxacillin, Cefazolin, Tazobactam, Ertapenem, Piperacillin, Sulfamethoxazole, Cilastatin]"
159,Optic Neuritis,"[Tetracosactide, Dexamethasone, Methylprednisolone, Prednisolone, Prednisone, Hydrocortisone, Corticotropin]"
160,Vasomotor Symptoms,"[Paroxetine, Norethisterone, Conjugated estrogens, Medroxyprogesterone acetate, Estradiol, Drospirenone, Venlafaxine]"
161,Post Traumatic Stress Disorder (PTSD),"[Olanzapine, Sertraline, Paroxetine, Imipramine, Quetiapine, Escitalopram, Citalopram]"
162,Listeria infection,"[Ampicillin, Doxycycline, Minocycline, Tetracycline, Erythromycin, Benzylpenicillin, Demeclocycline]"
163,Trichinosis,"[Dexamethasone, Methylprednisolone, Betamethasone, Bupivacaine, Prednisolone, Prednisone, Hydrocortisone]"
164,Vasomotor Rhinitis,"[Triprolidine, Promethazine, Carbinoxamine, Azelastine, Budesonide, Cyproheptadine, Beclomethasone dipropionate]"
165,Advanced Renal Cell Carcinoma,"[Lenvatinib, Pazopanib, Sorafenib, Cabozantinib, Ipilimumab, Sunitinib, Temsirolimus]"
166,Travelers' Diarrhea,"[Rifaximin, Loperamide, Ofloxacin, Sulfamethoxazole, Norfloxacin, Levofloxacin, Azithromycin]"
167,Gastric Ulcer (GU),"[Omeprazole, Nizatidine, Misoprostol, Ranitidine, Sucralfate, Rabeprazole, Ibuprofen]"
168,Hypermenorrhea,"[Ethinylestradiol, Norgestrel, Meclofenamic acid, Levonorgestrel, Dienogest, Drospirenone, Norgestimate]"
169,Homozygous Familial Hypercholesterolemia,"[Rosuvastatin, Ezetimibe, Atorvastatin, Lomitapide, Evolocumab, Mipomersen, Simvastatin]"
170,Lower Respiratory Tract Infection (LRTI),"[Clindamycin, Cefuroxime, Amoxicillin, Phenoxymethylpenicillin, Ceftazidime, Erythromycin, Aztreonam]"
171,Peptic Ulcers,"[Magaldrate, Hyoscyamine, Sucralfate, Glycopyrronium, Propantheline, Mepenzolate, Atropine]"
172,Hyperphosphataemia,"[Aluminum hydroxide, Calcium acetate, Calcium Carbonate, Lanthanum carbonate, Sevelamer, Tetraferric tricitrate decahydrateCommonly known or available as Ferric citrate, Iron saccharate]"
173,Serum Sickness,"[Dexamethasone, Methylprednisolone, Prednisolone, Prednisone, Hydrocortisone, Corticotropin, Norepinephrine]"
174,Glomerulonephritis minimal lesion,"[Hydrochlorothiazide, Tetracosactide, Spironolactone, Betamethasone, Etacrynic acid, Ciclosporin, Corticotropin]"
175,Narcolepsy,"[Pitolisant, Amphetamine, Dextroamphetamine, Armodafinil, Metamfetamine, Modafinil, Methylphenidate]"
176,Arrhythmia of ventricular origin,"[Disopyramide, Ranolazine, Lidocaine, Propafenone, Isoprenaline, Quinidine, Acebutolol]"
177,Lung Cancer Non-Small Cell Cancer (NSCLC),"[Etoposide, Cisplatin, Vinblastine, Mitomycin, Paclitaxel, Irinotecan, Erlotinib]"
178,Edema of the cerebrum,"[Dexamethasone, Mannitol, Betamethasone, Bupivacaine, Prednisolone, Triamcinolone, Prednisone]"
179,Skin-structure infections,"[Moxifloxacin, Povidone-iodine, Ciprofloxacin, Tyrothricin, Ertapenem, Doxycycline, Aztreonam]"
180,Bulimia Nervosa (BN),"[Fluoxetine, Sertraline, Imipramine, Fluvoxamine, Topiramate, Desipramine, Citalopram]"
181,Severe Plaque psoriasis,"[Brodalumab, Ixekizumab, Apremilast, Secukinumab, Adalimumab, Guselkumab, Ustekinumab]"
182,Oropharyngeal Candidiasis,"[Miconazole, Caspofungin, Posaconazole, Itraconazole, Anidulafungin, Fluconazole, Clotrimazole]"
183,Pollen Allergy,"[Cetirizine, Diphenhydramine, Chlorcyclizine, Mepyramine, Brompheniramine, Fexofenadine, Chlorphenamine]"
184,Dysfunctional Uterine Bleeding,"[Norethisterone, Ethinylestradiol, Norgestrel, Medroxyprogesterone acetate, Drospirenone, Norgestimate, Progesterone]"
185,Postmenopausal Osteoporosis (PMO),"[Norethisterone, Ethinylestradiol, Medroxyprogesterone acetate, Estradiol, Bazedoxifene, Levonorgestrel, Norgestimate]"
186,Waldenström's Macroglobulinemia (WM),"[Cyclophosphamide, Ibrutinib, Carfilzomib, Doxorubicin, Chlorambucil, Thalidomide, Bendamustine]"
187,Chemotherapy-Induced Nausea and Vomiting (CINV),"[Droperidol, Lorazepam, Palonosetron, Metoclopramide, Haloperidol, Dolasetron, Ondansetron]"
188,Acne,"[Clioquinol, OctasulfurCommonly known or available as Sulfur, Spironolactone, Silver, Chloramphenicol, Benzoyl peroxide, Salicylic acid]"
189,Stress Ulcers,"[Magaldrate, Nizatidine, Ranitidine, Sucralfate, Pantoprazole, Famotidine, Esomeprazole]"
190,Refractory Hodgkin Lymphoma,"[Carmustine, Cisplatin, Nivolumab, Carboplatin, Bendamustine, Brentuximab vedotin, Lomustine]"
191,Chronic hepatitis C genotype 3,"[Sofosbuvir, Glecaprevir, Pibrentasvir, Grazoprevir, Elbasvir, Daclatasvir, Velpatasvir]"
192,Pruritis,"[Cholestyramine, Amcinonide, Rupatadine, Ulobetasol, Naloxone, Alimemazine, Fluocinonide]"
193,"Refractory, metastatic Non small cell lung cancer","[Docetaxel, Pembrolizumab, Alectinib, Nivolumab, Ceritinib, Trastuzumab emtansine, Ramucirumab]"
194,Graft Versus Host Disease (GVHD),"[Sirolimus, Tacrolimus, Alemtuzumab, Antilymphocyte immunoglobulin (horse), Ciclosporin, Etanercept, Methotrexate]"
195,Hepatitis B Chronic Infection,"[Telbivudine, Tenofovir alafenamide, Lamivudine, Entecavir, Adefovir dipivoxil, Tenofovir disoproxil, Peginterferon alfa-2a]"
196,Moderate Plaque psoriasis,"[Brodalumab, Ixekizumab, Apremilast, Secukinumab, Adalimumab, Guselkumab, Ustekinumab]"
197,Acid indigestion,"[Aluminum hydroxide, Magaldrate, Sodium bicarbonate, Magnesium oxide, Calcium Carbonate, Magnesium carbonate, Magnesium hydroxide]"
198,Esophageal Candidiasis,"[Caspofungin, Posaconazole, Voriconazole, Micafungin, Itraconazole, Anidulafungin, Fluconazole]"
199,Complicated Intra-Abdominal Infections,"[Ciprofloxacin, Tigecycline, Imipenem, Cefepime, Meropenem, Doripenem, Cilastatin]"
200,Moderate Atopic dermatitis,"[Dupilumab, Pimecrolimus, Desonide, Tacrolimus, Teniposide, Crisaborole, Fusidic acid]"
201,Premenstrual Dysphoric Disorder,"[Fluoxetine, Sertraline, Paroxetine, Ethinylestradiol, Drospirenone, Citalopram]"
202,Malignant Neoplasm of Stomach,"[Cisplatin, Fluorouracil, Capecitabine, Oxaliplatin, Paclitaxel, Irinotecan]"
203,Fredrickson type IIb hyperlipidemia,"[Rosuvastatin, Alirocumab, Ezetimibe, Niacin, Atorvastatin, Pitavastatin]"
204,Bacterial Urinary Tract Infections,"[Cefazolin, Cefotaxime, Cefotetan, Cefoxitin, Sulfamethoxazole, Cefaclor]"
205,Menopausal Hot Flushes,"[Gabapentin, Desvenlafaxine, Clonidine, St. John's Wort, Mirtazapine, Escitalopram]"
206,Granuloma Inguinale,"[Streptomycin, Sulfamethoxazole, Doxycycline, Minocycline, Tetracycline, Erythromycin]"
207,Gonorrhea,"[Gemifloxacin, Cefuroxime, Cefotaxime, Cefotetan, Doxycycline, Cefpodoxime]"
208,Acquired immune hemolytic anemia,"[Dexamethasone, Methylprednisolone, Betamethasone, Prednisolone, Prednisone, Hydrocortisone]"
209,"Conjunctivitis, Bacterial","[Moxifloxacin, Besifloxacin, Gatifloxacin, Levofloxacin, Fusidic acid, Azithromycin]"
210,Hirsutism,"[Finasteride, Flutamide, Spironolactone, Ethinylestradiol, Drospirenone, Norgestimate]"
211,Trachoma,"[Sulfacetamide, Sulfadiazine, Acetyl sulfisoxazole, Doxycycline, Minocycline, Tetracycline]"
212,Synovitis,"[Dexamethasone, Methylprednisolone, Bupivacaine, Prednisolone, Triamcinolone, Hydrocortisone]"
213,"Severe, active Rheumatoid arthritis","[Baricitinib, Golimumab, Ciclosporin, Etanercept, Sarilumab, Methotrexate]"
214,Coronary Artery Disease,"[Technetium Tc-99m sestamibi, Dipyridamole, Isosorbide dinitrate, Fludeoxyglucose F-18, Amlodipine, Dobutamine]"
215,Motion Sickness,"[Diphenhydramine, Scopolamine, Chlorcyclizine, Promethazine, Cyclizine, Meclizine]"
216,Bronchospasm,"[Orciprenaline, Salbutamol, Terbutaline, Epinephrine, Ipratropium, Isoprenaline]"
217,Iridocyclitis,"[Dexamethasone, Methylprednisolone, Prednisolone, Prednisone, Hydrocortisone, Corticotropin]"
218,Pyelonephritis,"[Ertapenem, Imipenem, Cefepime, Norfloxacin, Doripenem, Cilastatin]"
219,Human Immunodeficiency Virus (HIV) Infections,"[Emtricitabine, Lamivudine, Stavudine, Ritonavir, Cobicistat, Zidovudine]"
220,Anxiety Disorders,"[Lorazepam, Diazepam, Buspirone, Oxazepam, Chlordiazepoxide, Meprobamate]"
221,Open-angle Glaucoma (OAG),"[Levobunolol, Pilocarpine, Unoprostone, Methazolamide, Echothiophate, Latanoprost]"
222,Otitis Media (OM),"[Clindamycin, Cephalexin, Ciprofloxacin, Clarithromycin, Sulfamethoxazole, Cefpodoxime]"
223,Moderate Rheumatoid arthritis,"[Abatacept, Anakinra, Rituximab, Tofacitinib, Certolizumab pegol, Adalimumab]"
224,Zollinger-Ellison Syndrome,"[Omeprazole, Ranitidine, Pantoprazole, Famotidine, Rabeprazole, Esomeprazole]"
225,Dysmenorrhea,"[Naproxen, Ethinylestradiol, Flurbiprofen, Norgestrel, Drospirenone, Norgestimate]"
226,Varicella-zoster virus acute retinal necrosis,"[Dexamethasone, Methylprednisolone, Prednisolone, Prednisone, Hydrocortisone, Ganciclovir]"
227,"Refractory, advanced Breast cancer","[Lapatinib, Exemestane, Fulvestrant, Everolimus, Palbociclib, Anastrozole]"
228,Allergies,"[Diphenhydramine, Chlorcyclizine, Mepyramine, Brompheniramine, Budesonide, Chlorphenamine]"
229,Actinomycosis,"[Phenoxymethylpenicillin, Doxycycline, Minocycline, Tetracycline, Benzylpenicillin, Demeclocycline]"
230,Seborrheic Dermatitis,"[Ketoconazole, Gentamicin, Salicylic acid, Pyrithione, Selenium Sulfide, Bendazac]"
231,Psoriasis Vulgaris (Plaque Psoriasis),"[Calcipotriol, Infliximab, Desoximetasone, Tazarotene, Etanercept, Calcitriol]"
232,"Leukemia, Acute","[Dexamethasone, Methylprednisolone, Prednisolone, Amsacrine, Prednisone, Hydrocortisone]"
233,Pelvic Inflammatory Disease (PID),"[Tazobactam, Cefotaxime, Cefotetan, Cefoxitin, Piperacillin, Azithromycin]"
234,Necrotizing ulcerative gingivostomatitis,"[Procaine benzylpenicillin, Doxycycline, Minocycline, Tetracycline, Benzylpenicillin, Demeclocycline]"
235,Metastatic Colorectal Cancers,"[Levoleucovorin, Aflibercept, Cetuximab, Panitumumab, Trifluridine, Bevacizumab]"
236,Hospital-acquired bacterial pneumonia,"[Ciprofloxacin, Amikacin, Telavancin, Levofloxacin, Sulbactam, Linezolid]"
237,Sunburn,"[Octinoxate, Benzocaine, Zinc oxide, Zinc, Diethyltoluamide, Camphor]"
238,Conjunctivitis,"[Sulfacetamide, Tetracosactide, Framycetin, Prednisolone, Ofloxacin, Neomycin]"
239,Fevers,"[Naproxen, Meclofenamic acid, Acetaminophen, Ibuprofen, Choline salicylate, Acetylsalicylic acidCommonly known or available as Aspirin]"
240,Symptomatic Sarcoidosis,"[Betamethasone, Prednisolone, Triamcinolone, Prednisone, Hydrocortisone, Corticotropin]"
241,Vulvovaginal Atrophy,"[Estrone, Norethisterone, Conjugated estrogens, Medroxyprogesterone acetate, Estradiol, Drospirenone]"
242,Peritonitis,"[Clindamycin, Caspofungin, Tazobactam, Micafungin, Cefoxitin, Piperacillin]"
243,Head and Neck Carcinoma,"[Cisplatin, Ifosfamide, Hydroxyurea, Mitomycin, Methotrexate, Bleomycin]"
244,Hypocalcemia,"[Calcium Chloride, Calcium Citrate, Parathyroid hormone, Alfacalcidol, Calcitriol, Calcium gluconate]"
245,Advanced Breast Cancer,"[Letrozole, Abemaciclib, Megestrol acetate, Goserelin, Palbociclib, Ribociclib]"
246,Discoid Lupus Erythematosus (DLE),"[Hydroxychloroquine, Chloroquine, Dexamethasone, Betamethasone, Bupivacaine, Triamcinolone]"
247,Post-Operative Nausea and Vomiting (PONV),"[Palonosetron, Scopolamine, Metoclopramide, Ephedrine, Dolasetron, Ondansetron]"
248,Acromegaly,"[L-Arginine, Pegvisomant, Pasireotide, Lanreotide, Bromocriptine, Octreotide]"
249,Tetanus,"[Chlorpromazine, Methocarbamol, Tetanus Immune Globulin, Metronidazole, Benzylpenicillin, Clostridium tetani toxoid antigen (formaldehyde inactivated)]"
250,Restless Legs Syndrome (RLS),"[Amantadine, Gabapentin, Levodopa, Iron, Carbamazepine, Clonazepam]"
251,Diffuse posterior uveitis,"[Dexamethasone, Methylprednisolone, Prednisolone, Prednisone, Hydrocortisone, Corticotropin]"
252,Alcohol Dependence,"[Fluoxetine, Naltrexone, Nalmefene, Topiramate, Trazodone, Acamprosate]"
253,Acute Depressive Episode,"[Nortriptyline, Olanzapine, Lurasidone, Tranylcypromine, Valproic Acid, Quetiapine]"
254,"Hyperparathyroidism, Secondary","[Calcifediol, Paricalcitol, Etelcalcetide, Alfacalcidol, Doxercalciferol, Calcitriol]"
255,Grand mal Generalized tonic-clonic seizure,"[Ethotoin, Primidone, Phenytoin, Acetazolamide, Topiramate, Levetiracetam]"
256,Idiopathic Thrombocytopenic Purpura (ITP),"[Dexamethasone, Methylprednisolone, Prednisolone, Ciclosporin, Prednisone, Hydrocortisone]"
257,Venous Thromboembolism (VTE),"[Tinzaparin, Nadroparin, Heparin, Dalteparin, Acetylsalicylic acidCommonly known or available as Aspirin]"
258,Anterior Segment Inflammation,"[Dexamethasone, Methylprednisolone, Prednisone, Hydrocortisone, Corticotropin]"
259,Anorexia Nervosa (AN),"[Fluoxetine, Amitriptyline, Cyproheptadine, Desipramine, Citalopram]"
260,Choroiditis,"[Tetracosactide, Dexamethasone, Methylprednisolone, Prednisolone, Corticotropin]"
261,Stage I Breast Carcinoma,"[Letrozole, Exemestane, Goserelin, Anastrozole, Pertuzumab]"
262,Parkinsonism,"[Amantadine, Hyoscyamine, Levodopa, Benzatropine, Atropine]"
